# name - moves - strength - cost - needed advance - transportable units - unit group mask - bonus 1 - bonus 2 - bonus 3 - bonus 4 - flags
# flags: settler worker sea-unit ocean-unit
# groups: 1: horses
#         2: catapults
"Settlers"	1	0	40	0	0	0	0	0	0	0	1000
"Worker"	1	0	20	0	0	0	0	0	0	0	0100
"Warrior"	1	1	10	0	0	0	0	0	0	0	0000
"Archer"	1	2	20	1	0	0	0	0	0	0	0000
"Spearman"	1	3	30	2	0	0	1:50	0	0	0	0000
"Trireme"	3	0	30	6	2	0	0	0	0	0	0010
"Caravel"	4	1	30	7	2	0	0	0	0	0	0011
"Horseman"	2	3	20	14	0	1	2:50	0	0	0	0000
"Catapult"	1	2	40	18	0	2	c:100	0	0	0	0000
"Chariot"	2	4	40	25	0	1	0	0	0	0	0000
"Swordsman"	1	4	30	21	0	0	0	0	0	0	0000
"Knight"	2	5	40	24	0	1	0	0	0	0	0000
